name,ring,quadrant,isNew,description,,
Mockk,Adopt,languages-and-frameworks,FALSE,,,
Kotlin,Adopt,languages-and-frameworks,FALSE,,,
Swift,Adopt,languages-and-frameworks,FALSE,,,
SwiftUI,Adopt,languages-and-frameworks,FALSE,,,
Jetpack Compose,Adopt,languages-and-frameworks,FALSE,,,
Java,Hold,languages-and-frameworks,FALSE,,,
Objective-C,Hold,languages-and-frameworks,FALSE,,,
Flutter,Trial,languages-and-frameworks,FALSE,,,
Firebase Notifications,Adopt,languages-and-frameworks,FALSE,,,
Mockito,Hold,languages-and-frameworks,FALSE,,,
UIKit,Hold,languages-and-frameworks,FALSE,,,
Jetpack Hilt,Adopt,languages-and-frameworks,FALSE,,,
Jetpack Navigation,Adopt,languages-and-frameworks,FALSE,,,
Gradle Kotlin DSL,Adopt,languages-and-frameworks,FALSE,,,
SPM,Adopt,languages-and-frameworks,FALSE,,,
Kotest,Trial,languages-and-frameworks,TRUE,,,
Swift Combine,Adopt,languages-and-frameworks,FALSE,,,
ReactiveX,Hold,languages-and-frameworks,FALSE,,,
Kotlin Coroutine,Adopt,languages-and-frameworks,FALSE,,,
Arrow,Assess,languages-and-frameworks,TRUE,,,
MVVM,Adopt,Platforms,FALSE,,,
MVI,Trial,Platforms,TRUE,,,
TCA,Assess,Platforms,FALSE,,,
MVC,Hold,Platforms,FALSE,,,
MVP,Hold,Platforms,FALSE,,,
Redux,Assess,Platforms,FALSE,,,
Clean Architecture,Adopt,Platforms,FALSE,,,
VIPER,Assess,Platforms,FALSE,,,
Design systems,Adopt,Techniques,FALSE,"<p>As application development becomes increasingly dynamic and complex, it's a challenge to deliver accessible and usable products with consistent style. This is particularly true in larger organizations with multiple teams working on different products. <strong><a href=""https://www.thoughtworks.com/insights/decoder/d/design-systems"">Design systems</a></strong> define a collection of design patterns, component libraries and good design and engineering practices that ensure consistent digital products. Evolved from the corporate style guides of the past, design systems offer shared libraries and documents that are easy to find and use. Generally, guidance is written down as code and kept under version control so that the guide is less ambiguous and easier to maintain than simple documents. Design systems have become a standard approach when working across teams and disciplines in product development because they allow teams to focus. They can address strategic challenges around the product itself without reinventing the wheel every time a TRUE visual component is needed.</p>

<p>Our experiences show that teams seldom apply a product-centric mindset when building design systems. The primary consumers of the shared libraries and documents are the product development teams. When applying a product mindset, system owners should establish empathy with internal consumers (the development teams) and collaborate with them. We've found that the reason many component libraries are maligned is because the owning team wasn't able to give consumers what they needed fast enough and wasn't set up to take outside contributions. A product-centric mindset also requires organizations to think about if and how contributions should be made to the design system and how these contributions should be governed Ñ on this topic, we recommend applying the <a href=""/radar/techniques/design-system-decision-records"">design system decision records</a> technique. For us, running a good design system or component library requires social work as much as technical work.</p>",,
Unit testing,Adopt,Techniques,FALSE,,,
SSDLC,Adopt,Techniques,FALSE,Thread Modelling, OWASP Top 10, Security Champion, É,,
